Initials,Tank,Brood#,Tube#,Day
SA,2,21-05,12,5/4
MH,5,21-38,138,4
HD,6,21-38,141,7
MH,7,21-38,144,11
MH,8,21-43,148,4
SA,7,21-05,15,5/4
LD,7,21-43,152,7
MH,8,21-43,158,11
JH,4,21-56,187,7/6
MH,7,21-56,192,4
MH,5,21-57,195,3
MH,8,21-56,196,7
SA,2,21-57,203,7
SA,7,21-58,205,5/4
SA,5,21-59,206,4
SA,4,21-56,207,11
KP,1,21-58,208,8/7
CS,3,21-57,209,10
HD,6,21-59,210,7
HD,7,21-60,211,3
EG,2,21-61,212,4
EG,5,21-58,213,8/9
MH,8,21-57,219,10
MH,1,21-60,220,7
EG,3,21-59,221,11
MH,10,21-60,222,10
JH,7,21-62,223,3
MH,4,21-61,224,11
MH,1,21-63,225,3
WW,5,21-62,226,7
MH,10,21-63,227,7
SA,9,21-62,229,10
MH,2,21-65,230,4/3
MH,8,21-65,236,4/3
MH,C11,21-63,237,11
MH,1,21-68,242,4
SA,8,21-68,255,8
MH,1,21-70,256,5
MH,7,21-68,259,12
MH,8,21-70,300,8
MH,6,21-70,303,11
MH,6,21-10,31,3
SA,1,21-11,34,5
MH,2,21-10,35,7
MH,1,21-10,40,10
MH,3,21-11,41,8
SA,3,21-10,46,14
SWS,8,21-11,48,12
SA,11,21-11,57,17
SA,11,21-11,58,17
SA,C11,21-11,63,19
MH,C11,21-11,66,21
MH,6,21-23,83,3
MH,5,21-23,91,7
MH,2,21-23,94,11
