Brood#,Date,DayN,Info2
21-10,2021-04-22,3,Best
21-10,2021-04-26,7,Best
21-10,2021-04-29,10,Best
21-10,2021-05-03,14,Best
21-11,2021-04-26,5,NoSurvivors
21-11,2021-04-29,8,NoSurvivors
21-11,2021-05-03,12,NoSurvivors
21-11,2021-05-08,17,NoSurvivors
21-11,2021-05-08,17,NoSurvivors
21-11,2021-05-10,19,NoSurvivors
21-11,2021-05-12,21,NoSurvivors
21-23,2021-05-20,3,Ok
21-23,2021-05-24,7,Ok
21-23,2021-05-28,11,Ok
21-38,2021-06-21,4,Best
21-38,2021-06-24,7,Best
21-38,2021-06-28,11,Best
21-43,2021-06-29,4,Best
21-43,2021-07-02,7,Best
21-43,2021-07-06,11,Best
21-56,2021-07-26,7,Ok
21-56,2021-07-27,4,Ok
21-56,2021-07-30,7,Ok
21-56,2021-08-03,11,Ok
21-57,2021-07-29,3,Poor
21-57,2021-08-02,7,Poor
21-57,2021-08-05,10,Poor
21-57,2021-08-09,10,Poor
21-58,2021-08-02,5,Poor
21-58,2021-08-05,8,Poor
21-58,2021-08-09,8,Poor
21-63,2021-08-16,3,NoSurvivors
21-63,2021-08-19,7,NoSurvivors
21-63,2021-08-23,11,NoSurvivors
21-68,2021-08-30,4,NoSurvivors
21-68,2021-09-03,8,NoSurvivors
21-68,2021-09-07,12,NoSurvivors
21-70,2021-09-07,5,Best
21-70,2021-09-10,8,Best
21-70,2021-09-13,11,Best
