Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Vibrio fluvialis strain Isc7A chromosome 2, complete sequence",Vibrio fluvialis,689,6884,100%,0.0,100.00,3105893,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP099915.1?report=genbank&log$=nucltop&blast_rank=1&RID=GM8P2DA9016"",""CP099915.1"")"
"Vibrio furnissii strain VFBJ05 chromosome 1, complete sequence",Vibrio furnissii,689,6899,100%,0.0,100.00,3298698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP128204.1?report=genbank&log$=nucltop&blast_rank=2&RID=GM8P2DA9016"",""CP128204.1"")"
"Vibrio furnissii strain VFBJ07 chromosome 1, complete sequence",Vibrio furnissii,689,6899,100%,0.0,100.00,3392079,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP128200.1?report=genbank&log$=nucltop&blast_rank=3&RID=GM8P2DA9016"",""CP128200.1"")"
"Vibrio fluvialis strain SD21SC3889PM chromosome 1, complete sequence",Vibrio fluvialis,689,6899,100%,0.0,100.00,3341470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP126305.1?report=genbank&log$=nucltop&blast_rank=4&RID=GM8P2DA9016"",""CP126305.1"")"
"Vibrio sp. strain XS35 16S ribosomal RNA gene, partial sequence",Vibrio sp.,689,689,100%,0.0,100.00,947,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ617989.1?report=genbank&log$=nucltop&blast_rank=5&RID=GM8P2DA9016"",""OQ617989.1"")"
"Vibrio furnissii strain C1 chromosome 1, complete sequence",Vibrio furnissii,689,7589,100%,0.0,100.00,3228907,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP119521.1?report=genbank&log$=nucltop&blast_rank=6&RID=GM8P2DA9016"",""CP119521.1"")"
"Vibrio fluvialis strain 10M-VF chromosome 1, complete sequence",Vibrio fluvialis,689,5519,100%,0.0,100.00,3250262,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP118599.1?report=genbank&log$=nucltop&blast_rank=7&RID=GM8P2DA9016"",""CP118599.1"")"
"Vibrio sp. strain LV-Q1 16S ribosomal RNA gene, partial sequence",Vibrio sp.,689,689,100%,0.0,100.00,1469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ411076.1?report=genbank&log$=nucltop&blast_rank=8&RID=GM8P2DA9016"",""OQ411076.1"")"
"Vibrio fluvialis strain FB18 16S ribosomal RNA gene, partial sequence",Vibrio fluvialis,689,689,100%,0.0,100.00,1472,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ380722.1?report=genbank&log$=nucltop&blast_rank=9&RID=GM8P2DA9016"",""OQ380722.1"")"
"Vibrio fluvialis strain FB08 16S ribosomal RNA gene, partial sequence",Vibrio fluvialis,689,689,100%,0.0,100.00,1537,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ380521.1?report=genbank&log$=nucltop&blast_rank=10&RID=GM8P2DA9016"",""OQ380521.1"")"



		


